Task,Model,Embedding,Iteration,AUC,AUPRC,ACC,F1
los_7,Proposed,fasttext,7,0.719931389,0.199628145,0.919230769,0
mort_hosp,Proposed,fasttext,8,0.877683814,0.572654797,0.916968326,0.468885673
mort_icu,Proposed,fasttext,8,0.870986388,0.477796841,0.938235294,0.325925926
los_3,Proposed,fasttext,8,0.690612288,0.624255023,0.653167421,0.52699784
los_7,Proposed,fasttext,8,0.729136548,0.191688537,0.919004525,0
mort_hosp,Proposed,fasttext,9,0.875581471,0.568440767,0.910859729,0.458791209
mort_icu,Proposed,fasttext,9,0.872072681,0.494070092,0.939819005,0.344827586
los_3,Proposed,fasttext,9,0.697345126,0.640563552,0.66199095,0.561619718
los_7,Proposed,fasttext,9,0.701914042,0.210835847,0.919230769,0
mort_hosp,Proposed,fasttext,10,0.871422569,0.552450256,0.913348416,0.464335664
mort_icu,Proposed,fasttext,10,0.878173402,0.507413918,0.942307692,0.456289979
los_3,Proposed,fasttext,10,0.69962446,0.640874053,0.661085973,0.555225653
los_7,Proposed,fasttext,10,0.725779064,0.205979021,0.919457014,0.011111111
mort_hosp,Proposed,concat,1,0.876387288,0.565811907,0.912443439,0.433382138
mort_icu,Proposed,concat,1,0.874526615,0.482364461,0.938461538,0.287958115
los_3,Proposed,concat,1,0.696554927,0.640188547,0.658371041,0.580555556
los_7,Proposed,concat,1,0.724654962,0.216904194,0.918325792,0.121654501
mort_hosp,Proposed,concat,2,0.88146997,0.576998833,0.915837104,0.457725948
mort_icu,Proposed,concat,2,0.868455026,0.498156018,0.942760181,0.393285372
los_3,Proposed,concat,2,0.698586821,0.634367482,0.659954751,0.545509525
los_7,Proposed,concat,2,0.713392913,0.216632802,0.919909502,0.038043478
mort_hosp,Proposed,concat,3,0.869799084,0.56154841,0.915837104,0.439759036
mort_icu,Proposed,concat,3,0.866518557,0.504147732,0.942986425,0.388349515
los_3,Proposed,concat,3,0.695024604,0.631103478,0.657692308,0.538578835
los_7,Proposed,concat,3,0.701102592,0.201197626,0.919457014,0.011111111
mort_hosp,Proposed,concat,4,0.87152599,0.554770944,0.914932127,0.417956656
mort_icu,Proposed,concat,4,0.883150266,0.518237502,0.939366516,0.427350427
los_3,Proposed,concat,4,0.694774341,0.637459241,0.657013575,0.564367816
los_7,Proposed,concat,4,0.716278832,0.208348357,0.919230769,0
mort_hosp,Proposed,concat,5,0.868002155,0.565697263,0.91719457,0.474137931
mort_icu,Proposed,concat,5,0.886288787,0.520682347,0.942533937,0.461864407
los_3,Proposed,concat,5,0.704344325,0.645572147,0.672171946,0.580607815
los_7,Proposed,concat,5,0.722337471,0.199487946,0.91561086,0.0968523
mort_hosp,Proposed,concat,6,0.871906275,0.568415341,0.915837104,0.449704142
mort_icu,Proposed,concat,6,0.875486417,0.509601514,0.941176471,0.429824561
los_3,Proposed,concat,6,0.699137315,0.635087956,0.660859729,0.495456075
los_7,Proposed,concat,6,0.703229458,0.198758446,0.919457014,0.005586592
mort_hosp,Proposed,concat,7,0.880218691,0.579690278,0.91561086,0.466380544
mort_icu,Proposed,concat,7,0.876923053,0.507506493,0.937782805,0.453280318
